book_id,title,categories,author_names,price,description
OL516118W,Relational database design and implementation,Database design; Relational databases; Computer Technology; Nonfiction; Database management,Jan L. Harrington,98.28,"Fully revised, updated, and expanded, Relational Database Design and Implementation, Third Edition is the most lucid and effective introduction to the subject available for IT/IS professionals interested in honing their skills in database design, implementation, and administration. This book provides the conceptual and practical information necessary to develop a design and management scheme that ensures data accuracy and user satisfaction while optimizing performance, regardless of experience level or choice of DBMS.The book begins by reviewing basic concepts of databases and database design, then briefly reviews the SQL one would use to create databases. Topics such as the relational data model, normalization, data entities and Codd's Rules (and why they are important) are covered clearly and concisely but without resorting to ""Dummies""-style talking down to the reader.Supporting the book's step-by-step instruction are three NEW case studies illustrating database planning, analysis, design, and management practices. In addition to these real-world examples, which include object-relational design techniques, an entirely NEW section consisting of three chapters is devoted to database implementation and management issues."
OL4635079W,Relational database management,Database management; Relational databases; Relationales Datenbanksystem,M. Papazoglou; W. Valder,78.56,
OL5975026W,Oracle RMAN,Backup processing alternatives; Data recovery (Computer science); Electronic data processing; Oracle (Computer file); Relational databases; Oracle (computer system),Darl Kuhn; Scott Schulze,151.55,
OL20592327W,"Introductory Relational Database Design for Business, with Microsoft Access",Microsoft access (computer program); Relational databases,Jonathan Eckstein; Bonnie R. Schultz,56.32,
OL19547718W,Troubleshooting Oracle Performance,Relational databases; SQL (Computer program language); Oracle (Computer file); Oracle (computer system); Sql (computer program language),Christian Antognini,167.73,
OL1970757W,Database modeling & design,Database design; Relational databases; Entity-relationship modeling; Database management; Problèmes et exercices; Conception; Structures de données (Informatique); Bases de données relationnelles; Bases de données réparties; Ontwerpen; Databanken; Bases de données; Datenbankentwurf; Relational data bases; Computer architecture; Databases,Toby J. Teorey; Sam S. Lightstone; Tom Nadeau,46.95,
OL2040202W,Mastering Microsoft SQL server 2005,Client/server computing; Computer Technology; Database design; Database management; Management; Nonfiction; Relational databases; SQL (Computer program language); SQL server; SQL; Database Management - General; Sql (Programming Language); Computers; Computers - Data Base Management; Computer Books: Database; Computer Books: General; Programming Languages - SQL; Database Management - SQL Server; Computers / Database Management / General; Sql server,Mike Gunderloy; Joseph L. Jorden; David W. Tschanz,48.24,"The Comprehensive Resource for SQL Server 2005 Administrators, Consultants, and Developers   Whether you're a systems administrator, database application developer, or IT consultant, you'll quickly ratchet up your knowledge of Microsoft SQL Server 2005 with this thorough and comprehensive guide. Light on theory and heavy on practicality, it cuts to the chase with real-world examples of large-scale business applications, an entire chapter on troubleshooting, and crucial information on SQL Server 2005's enhanced connectivity. For new users of Microsoft SQL Server, this book takes you quickly, but systematically, through the introductory topics.   Coverage Includes    Integrating SQL Server with .NET Framework  Understanding Service Broker, a distributed application framework  Programming with ADO.NET, the data-access component of .NET  Setting up Notification Services, which delivers personalized information to mobile devices  Using SQL Server Management Studio instead of Enterprise Manager  Designing made easier with new Business Intelligence Development Studio (BIDS)  Printing multi-page reports  Mastering Transact-SQL programming language     Leverage the Experience of Large-Scale Enterprises through Real-World Examples   Increase Your Own Productivity with an Entire Chapter on Troubleshooting   Discover What SQL Server 2005's Increased Emphasis on Connectivity Means to Your Installation   Start Developing Apps--All the Information You Need!   www.sybex.com"
OL20752107W,Database Modeling Step by Step,Database design; Relational databases; SQL (Computer program language); Bases de données; Conception; Bases de données relationnelles; SQL (Langage de programmation); COMPUTERS; Data Modeling & Design; Database Management; Data Warehousing; General,Gavin Powell,,
OL2098141W,Oracle Internals,Relational databases; Programming Languages; COMPUTERS; Oracle (Computer file); SQL; Database management; Computer programs; Database Management Systems; Bases de données; Gestion; Logiciels; Bases de données relationnelles,Donald K. Burleson,114.08,Excerpts: Conversion - the word is enough to dim the enthusiasm of most systems developers.
OL20934842W,Database Concepts,Database management; Relational databases; Datenbanksystem; Lehrmittel,David M. Kroenke; David J. Auer,110.44,
OL1840929W,A guide to DB2,IBM Database 2.; Relational databases; Database management; Bases de donnees relationnelles; IBM Database 2 (Systeme informatique); Dbase ii (computer program),C. J. Date; Colin J. White,123.59,
OL15937039W,Automated physical database design and tuning,Relational databases; Database management,Nicolas Bruno,,
OL1703038W,Oracle Developer 2000 Handbook,Computer software; Development; Oracle (Computer file); Relational databases,Robert J. Muller,42.98,
OL16944258W,Teach yourself visually web design,"Authoring programs; Design; Dreamweaver (Computer file); Cascading style sheets; Relational databases; Web sites; Web site development; Web sites, design",Rob Huddleston,99.35,"From the Publisher: The mechanics of Web design made easy for visual learners. An effective Web site combines good graphic design principles with a functional user interface. This colorful, step-by-step guide shows visual learners how to plan, develop, and publish a site, all with easy-to-follow lessons. Each task is illustrated with screen shots accompanied by numbered steps. You'll learn all the tools and techniques for creating great-looking Web sites that users will love. -- Good Web design incorporates basic graphic design principles as well as the techniques required to make a site easy to navigate and user-friendly -- Those who learn best when someone shows them how will quickly get up to speed with the full-color screen shots and step-by-step illustrations in this visual guide -- Covers planning a site, creating eye-popping content with popular Adobe tools, building in functionality with HTML and CSS, testing the site, taking it live, and keeping it up to date -- Companion Web site features code and design examples for experimentation -- If you find learning easier when someone shows you how to do something, you'll quickly learn to build Web sites with Teach Yourself VISUALLY Web Design."
OL16948761W,The Language of SQL,Relational databases; SQL (Computer program language),Larry Rockoff,156.0,Annotation
OL16712034W,Relational data clustering,Relational databases; Cluster analysis; Data mining; Computer algorithms; Data Mining; Cluster Analysis; Exploration de données (Informatique); Classification automatique (Statistique); Bases de données relationnelles; COMPUTERS; Programming Languages; SQL,Bo Long; Zhongfei Zhang; Philip S. Yu,149.85,
OL17832636W,Introduction to statistical relational learning,Statistical methods; Relational databases; Computer algorithms; Machine learning,Lise Getoor,98.74,
OL13614454W,Design and use of relational databases in chemistry,"Chemistry; Relational databases; Data processing; Databases; Chemistry, physical and theoretical",T. J. O'Donnell,51.05,
OL10057855W,Logical and Relational Learning,Data mining; Information storage and retrieval systems; Information systems; Artificial intelligence; Database management; Computer programming; Machine learning; Logic programming; Relational databases; Data Mining; Apprentissage automatique; Exploration de données (Informatique); Programmation logique; Bases de données relationnelles; Informatique,Luc De Raedt,45.49,
OL12018481W,Ferret,Ruby (Computer program language); Relational databases; Query languages (Computer science); Database management; Programming languages (electronic computers),David Balmain,99.2,
OL2685209W,Database management systems,Database management; Relational databases; open_syllabus_project; Datenbanksystem,Raghu Ramakrishnan,83.74,
OL2713862W,Programming Informix SQL/4GL,INFORMIX-4GL (Computer program language); Informix-SQL; Relational databases; Informix-4gl (computer program language); Informix-sql (computer program),Cathy Kipp,61.74,
OL25705120W,Modelling Business Information,Management information systems; Relational databases; Business intelligence,Keith Gordon,107.76,
OL6221553W,Beginning SQL server 2005 programming,Relational databases; Client/server computing; SQL server; Computer Technology; Nonfiction; Sql server,Robert Vieira,136.95,"After a quick primer on database design basics and the SQL query language (for those programmers who may be building their first database application), this book provides an overview of SQL Server itself, which has been dramatically redesigned with the 2005 release  Once readers have grasped the fundamentals of database design and SQL concepts, they will then learn how to implement those concepts with Microsoft SQL Server 2005  Addresses creating and changing tables, managing keys, database normalization, writing scripts, working with stored procedures, programming with XML, and using SQL Server reporting and data transformation services  The companion Web site provides all of the code found in the book"
OL556934W,Oracle9i,Oracle (Computer file); Relational databases; Oracle (computer system),Kevin Loney; George Koch,102.21,
OL4466896W,INFORMIX-SQL,Database management; Informix-SQL; Relational databases; UNIX (Computer file); Informix-sql (computer program),Tony Lacy-Thompson,154.3,
OL8167280W,Oracle DBA Checklists,Relational databases; Oracle (Computer file); Database management,Quest Software; Reveal Net,86.0,
OL8226832W,High-Performance Oracle,Relational databases; Software maintenance; Oracle (Computer file); Oracle (computer system); Bases de données relationnelles; Logiciels; Entretien et réparations; COMPUTERS; Data Processing,Geoff Ingram,50.5,
OL832964W,Object-relational DBMSs,Object-oriented databases; Database software; Databases & data structures; Relational Databases; General; Computers; Computers - Data Base Management; Programming - Software Development; Computer Books: Database; Information Storage & Retrieval; Database Management - General; Information Technology,Michael Stonebraker; Paul Brown,105.25,
OL8833948W,SAS/ACCESS(R) 9.1.3 for Relational Databases,Relational databases; SAS/ACCESS,SAS Publishing,20.1,
OL8407714W,Inside Microsoft SQL server 2005,Client/server computing; Computer Technology; Nonfiction; Relational databases; SQL server; Database software; Database Engineering; Computers; Computers - General Information; Computer Books: Database; Client-Server Computing - General; Programming Languages - SQL; Computers / General; Database Management - General; Desktop Applications - Databases,Kalen Delaney; Sunil Agarwal; Craig Freedman; Lubor Kollar; Ron Talmage; Adam Machanic,65.0,"This practical, hands-on book offers deep, thorough coverage of the internals of architecture and resource management in SQL Server 2005, focusing on the Storage Engine. The book features extensive code samples and table examples. Take an in-depth look at the internals of the SQL Server Storage Engine—with advice from a popular author and SQL Server expert. Database developers and administrators get best practices, pragmatic advice, and code samples to help master the intricacies of creating and maintaining enterprise relational databases.Discover how to:Upgrade or migrate to SQL Server 2005 and choose configuration optionsControl space allocation for databases and files manually or automaticallyManage transaction logs to maximize efficient restore operations and data consistencyObserve the internal structures of clustered and nonclustered indexes Build and partition relational indexes and tablesExplore internal storage issues and compare fixed- and variable-length datatypesDetect and correct index fragmentationImplement and manage an appropriate concurrency model using locking or row versioningPLUS—Get code samples on the Web"
OL3469866W,Database Concepts,Relational databases; Gestion des bases de donnees; Base de donnees relationnelle; Database management; Bases de datos; Administración; Bases de datos relacionadas,David M. Kroenke,45.54,
OL556942W,Oracle Database 10g,Oracle (Computer file); Oracle. (Computer file); Oracle (computer system); Database management; Engineering & Applied Sciences; Computer Science; Relational databases,Kevin Loney,,
OL20250455W,Getting Started with SQL,Sql (computer program language); Relational databases,Thomas Nield,83.92,
OL16925397W,Microsoft SQL server 2008 bible,SQL (Computer program language); SQL server; COMPUTERS; Data Processing; Sql server; Client/server computing; Relational databases,Paul Nielsen,,
OL18836054W,Db2 Express,IBM Database 2.; Relational databases; Database management; Ibm database 2 (computer system),Paul Yip; Kit Man Cheung; Jason Gartner; Clara Liu; Stephen O'Connell,158.18,
OL20314223W,Methodological Developments in Data Linkage,Relational databases; Linked data; Big data; Database management; Metadata,Katie Harron; Harvey Goldstein; Chris Dibben,24.36,
OL18021253W,Mastering SQL server 2000,SQL server; Client/server computing; Architecture client-serveur (informatique); Bases de donnees relationnelles; Microsoft SQL Server (systeme informatique); Relational databases; Microsoft SQL Server (Computer file); Sql (computer program language),Mike Gunderloy; Joseph L. Jorden; Joe Jorden,133.65,
OL21471800W,Professional Microsoft SQL Server 2012 Analysis Services with MDX and DAX,Sql server; Database management; Relational databases; Client/server computing; Programming languages (electronic computers); Data mining,Sivakumar Harinath; Ronald Pihlgren; Denny Guang-Yeu Lee; John Sirmon; Robert M. Bruckner,163.21,
OL19567544W,Smart business intelligence solutions with Microsoft SQL Server 2008,Relational databases; Business intelligence; OLAP technology; Client/server computing; SQL server,Lynn Langit,90.52,
OL16679095W,Oracle 11g for dummies,Relational databases; Oracle (Computer file); Database management; Oracle (computer system),Chris Zeis,71.74,
OL17579141W,Php Mysql Javascript Html5 Allinone For Dummies,PHP (Computer program language); JavaScript (Computer program language); HTML (Document markup language); Internet programming; Relational databases; MySQL (Electronic resource); Php (computer program language); Sql (computer program language); Javascript (computer program language); Html (document markup language),Steve Suehring,45.06,
OL17378085W,Professional Microsoft Sql Server Analysis Services 2008 With Mdx,Relational databases; OLAP technology; Client/server computing; MDX (Computer program language); SQL server; Database design; Sql server,Matt Carroll,112.76,
OL16924544W,The Definitive Guide to MongoDB,Computer science; Database management; Open source software; Object-oriented databases; Relational databases; Python (computer program language); Internet programming; Javascript (computer program language); MongoDB,Eelco Plugge,131.7,
OL16163879W,Hibernate recipes,Java (Computer program language); Relational databases; Web site development; Hibernate (Electronic resource); Object-oriented programming (Computer science),Srinivas Guruzu,160.2,
OL15090296W,Microsoft SQL server 2008 analysis services step by step,Relational databases; OLAP technology; SQL server; Database management; Business intelligence,Scott Cameron,103.49,
OL13847301W,Conceptual modeling,Congresses; Database design; Relational databases; Entity-relationship modeling; System analysis,"International Conference on Conceptual Modeling (27th 2008 Barcelona, Spain)",146.34,
OL15007613W,Oracle PL/SQL Programming,Oracle (computer system); Sql (computer program language); Pl/1 (computer program language); Relational databases; PL/SQL (Computer program language); Oracle (Computer file); SQL (Computer program language); Database management,Steven Feuerstein; Bill Pribyl,,Annotation
OL16931094W,Professional Oracle programming,Relational databases; Oracle (Computer file); Oracle (computer system); Computer programming,Rick Greenwald,28.48,
OL16918666W,Beginning DB2,Data structures (Computer science); Ibm database 2 (computer system); Database management; Relational databases; Web site development; Management; IBM Database 2.; Computer programs; Software,Grant Allen ,122.45,
OL16939511W,BusinessObjects XI release 2 for dummies,"Relational databases; Business; Data processing; BusinessObjects; Business, data processing; Businessobjects (computer program)",Derek Torres,66.1,
OL2640324W,Principles of database systems,Database management; Data base management; Banques de donnees; Bases de donnees; Datenbanksystem; Gestion; Databases; Relational databases; Distributed databases; Query languages (Computer science); Management; Banques de données; Bases de données relationnelles; Bases de données réparties; Bases de données; Langages d'interrogation; Databanken,Jeffrey D. Ullman,,"1. The material on optimization has been expanded, by including a discussion of the System R approach to optimization, tableau-based methods, and optimization in the distributed environment.
2. There is a discussion of universal relation systems, which are relational database systems that support a user view that looks like a single relation.
3. Concurrency control by ""optimistic,"" or timestamp-based methods has been introduced.
4. Distributed systems are covered, both for optimization issues and concurrency control.
5. A discussion of data structures for range queries appears.
6. There is an introduction to generalized dependencies and their inference.

The second edition was prepared using Don Knuth's TEX typesetting system."
OL17503756W,Professional Microsoft Sql Server 2014 Integration Services,Sql server; Database management; Relational databases; SQL server,Devin Knight,67.43,
OL16925449W,Expert Oracle Database Architecture,Computer system performance; Computer science; Oracle (computer system); Database design; Relational databases; Oracle (Computer file),Thomas Kyte,,
OL21819855W,Sams Teach Yourself Microsoft SQL Server T-SQL in 10 Minutes,Relational databases; SQL (Computer program language); Client/server computing; SQL server; Sql (computer program language); Database management; Sql server,Ben Forta,161.61,
OL8977902W,Beginning SQL Queries,Relational databases; Database management; SQL (Computer program language); Computer programming; Querying (Computer science),Clare Churcher,67.54,
OL8977923W,Foundations of SQL Server 2005 Business Intelligence,Informatique; Programming Languages; COMPUTERS; Client/server computing; SQL server; Business intelligence; SQL; Relational databases; OLAP technology; Sql server,Lynn Langit,70.55,
OL8834107W,Oracle Real Application Clusters,"Oracle (computer system); Relational databases; Parallel processing (electronic computers); Electronic data processing, distributed processing; Parallel processing (Electronic computers); Electronic data processing; Distributed processing; Beowulf clusters (Computer systems); Oracle (Computer file)",Murali Vallath,151.59,
OL8885728W,Oracle scripts,Database management; Oracle (Computer file); Oracle; Utiliteitsprogramma's; Database software; Relational Databases; Computers; Computers - Data Base Management; Computer Books And Software; Database Management - Oracle; Programming - General; Computers / Data Base Management; Computers / Database Management / General; Computers/Programming - General; Database Management - General; Oracle (computer system),Brian Lomasky; David Kreines,46.36,
OL12941W,SQL,Relational databases; SQL (Computer program language); Sql (computer program language),Robert Sheldon,111.74,
OL13470048W,Professional SQL server 2005 CLR programming,Database management; SQL (Computer program language); Computer programs; Microsoft .NET Framework; Computer Technology; Management; Nonfiction; Sql server; Relational databases,Derek Comingore,34.14,"SQL Server 2005 offers the capability to write code in a .NET language that can be compiled and run inside SQL Server. CLR Integration, or SQL CLR, lets you create stored procedures, user-defined types, triggers, table valued functions, and aggregates using a .NET managed language. You can read and write to resources outside of SQL Server and enjoy a tighter integration with XML, web services, and simple file and logging capabilities.   Here's the reference you'll want on your desk as you develop SQL CLR solutions. It helps you decide whether to use SQL CLR, how to lock down security, and learn from real examples. If you want to develop stored procedures or other objects in .NET for SQL Server 2005, this book offers exactly what you need.   What you will learn from this book    The concepts and architecture of SQL CLR  Uses of .NET namespaces in SQL Server programming tasks  How to develop and benchmark routines in T-SQL and .NET to determine when CLR-based solutions are advantageous  How to replace extended stored procedures using SQL CLR stored procedures  How to use SQL CLR objects in external applications  How to restrict and secure SQL CLR object capabilities  Processes and procedures for deploying SQL CLR objects     Who this book is for   This book is for developers and architects who are familiar with .NET concepts as well as DBAs who, although developers in their own right, may be slightly less up to date on .NET. A solid grounding in T-SQL is necessary.   Wrox Professional guides are planned and written by working programmers to meet the real-world needs of programmers, developers, and IT professionals. Focused and relevant, they address the issues technology professionals face every day. They provide examples, practical solutions, and expert education in new technologies, all designed to help programmers do a better job."
OL13501415W,Rdb,Relational databases; VAX computers; Programming; VAX/VMS; Rdb,Lilian Hobbs,142.65,
OL15155104W,Understanding SQL and Java together,Java (Computer program language); SQL (Lenguaje de programación); SQL (Computer program language); Java (Langage de programmation); Java (Lenguaje de programación); SQL (Langage de programmation); Databases & data structures; Java & variants; SQL; SQL (Computer program language; Java (Computer program languag; Relational Databases; Computers; Computers - Languages / Programming; Computer Books And Software; Programming Languages - SQL; Database Management - General; Programming Languages - Java; Computers / Programming / General; Information Technology,Jim Melton; Andrew Eisenberg,146.55,
OL15056282W,Oracle in a Nutshell,Relational databases; Oracle (Computer file); Oracle (computer system),Rick Greenwald,68.81,
OL3271589W,The practical SQL handbook,Relational databases; SQL (Computer program language); PL/SQL (Langage de programmation); Programming Languages; Handbooks; Bases de données relationnelles; Sql (computer program language),Judith S. Bowman,123.62,
OL283021W,Oracle Database 10g Performance Tuning Tips & Techniques,Computer Technology; Nonfiction; Oracle (computer system); Relational databases; Oracle (Computer file),Richard Niemiec,54.96,"""Offers hundreds of hints, tips, and tricks of the trade that can be useful to any DBA wanting to achieve maximum performance of Oracle applications. No Oracle library would be complete without this book."" --Ken (Dr. DBA) Jacobs, Vice President of Product Strategy for Server Technologies, Oracle Corporation""Rich is the first and last stop for Oracle Database technology and performance tuning. His knowledge is a vital tool that you need to successfully negotiate the waters of Oracle database development."" --Mike Frey, Principal Architect, Navteq"
